Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,87.62999725341797,87.62999725341797,87.62999725341797,87.62999725341797,87.62999725341797,0
2007-01-04,88.19000244140625,88.19000244140625,88.19000244140625,88.19000244140625,88.19000244140625,0
2007-01-05,90.16999816894531,90.16999816894531,90.16999816894531,90.16999816894531,90.16999816894531,0
2007-01-08,92.04000091552734,92.04000091552734,92.04000091552734,92.04000091552734,92.04000091552734,0
2007-01-09,92.76000213623047,92.76000213623047,92.76000213623047,92.76000213623047,92.76000213623047,0
2007-01-10,93.77999877929688,93.77999877929688,93.77999877929688,93.77999877929688,93.77999877929688,0
2007-01-11,85.97000122070312,85.97000122070312,85.97000122070312,85.97000122070312,85.97000122070312,0
2007-01-12,85.18000030517578,85.18000030517578,85.18000030517578,85.18000030517578,85.18000030517578,0
2007-01-16,85.30000305175781,85.30000305175781,85.30000305175781,85.30000305175781,85.30000305175781,0
2007-01-17,84.93000030517578,84.93000030517578,84.93000030517578,84.93000030517578,84.93000030517578,0
2007-01-18,83.66000366210938,83.66000366210938,83.66000366210938,83.66000366210938,83.66000366210938,0
2007-01-19,82.48999786376953,82.48999786376953,82.48999786376953,82.48999786376953,82.48999786376953,0
2007-01-22,84.43000030517578,84.43000030517578,84.43000030517578,84.43000030517578,84.43000030517578,0
2007-01-23,81.4800033569336,81.4800033569336,81.4800033569336,81.4800033569336,81.4800033569336,0
2007-01-24,77.51000213623047,77.51000213623047,77.51000213623047,77.51000213623047,77.51000213623047,0
2007-01-25,80.44999694824219,80.44999694824219,80.44999694824219,80.44999694824219,80.44999694824219,0
2007-01-26,81.36000061035156,81.36000061035156,81.36000061035156,81.36000061035156,81.36000061035156,0
2007-01-29,81.68000030517578,81.68000030517578,81.68000030517578,81.68000030517578,81.68000030517578,0
2007-01-30,78.9000015258789,78.9000015258789,78.9000015258789,78.9000015258789,78.9000015258789,0
2007-01-31,77.27999877929688,77.27999877929688,77.27999877929688,77.27999877929688,77.27999877929688,0
2007-02-01,73.5,73.5,73.5,73.5,73.5,0
2007-02-02,72.44000244140625,72.44000244140625,72.44000244140625,72.44000244140625,72.44000244140625,0
2007-02-05,70.29000091552734,70.29000091552734,70.29000091552734,70.29000091552734,70.29000091552734,0
2007-02-06,68.55000305175781,68.55000305175781,68.55000305175781,68.55000305175781,68.55000305175781,0
2007-02-07,70.31999969482422,70.31999969482422,70.31999969482422,70.31999969482422,70.31999969482422,0
2007-02-08,73.18000030517578,73.18000030517578,73.18000030517578,73.18000030517578,73.18000030517578,0
2007-02-09,74.38999938964844,74.38999938964844,74.38999938964844,74.38999938964844,74.38999938964844,0
2007-02-12,79.12000274658203,79.12000274658203,79.12000274658203,79.12000274658203,79.12000274658203,0
2007-02-13,75.72000122070312,75.72000122070312,75.72000122070312,75.72000122070312,75.72000122070312,0
2007-02-14,74.0,74.0,74.0,74.0,74.0,0
2007-02-15,70.33999633789062,70.33999633789062,70.33999633789062,70.33999633789062,70.33999633789062,0
2007-02-16,70.73999786376953,70.73999786376953,70.73999786376953,70.73999786376953,70.73999786376953,0
2007-02-20,65.87000274658203,65.87000274658203,65.87000274658203,65.87000274658203,65.87000274658203,0
2007-02-21,67.37000274658203,67.37000274658203,67.37000274658203,67.37000274658203,67.37000274658203,0
2007-02-22,66.05000305175781,66.05000305175781,66.05000305175781,66.05000305175781,66.05000305175781,0
2007-02-23,70.70999908447266,70.70999908447266,70.70999908447266,70.70999908447266,70.70999908447266,0
2007-02-26,70.33000183105469,70.33000183105469,70.33000183105469,70.33000183105469,70.33000183105469,0
2007-02-27,110.41999816894531,110.41999816894531,110.41999816894531,110.41999816894531,110.41999816894531,0
2007-02-28,91.63999938964844,91.63999938964844,91.63999938964844,91.63999938964844,91.63999938964844,0
2007-03-01,99.47000122070312,99.47000122070312,99.47000122070312,99.47000122070312,99.47000122070312,0
2007-03-02,104.16999816894531,104.16999816894531,104.16999816894531,104.16999816894531,104.16999816894531,0
2007-03-05,101.19999694824219,101.19999694824219,101.19999694824219,101.19999694824219,101.19999694824219,0
2007-03-06,93.6500015258789,93.6500015258789,93.6500015258789,93.6500015258789,93.6500015258789,0
2007-03-07,94.41000366210938,94.41000366210938,94.41000366210938,94.41000366210938,94.41000366210938,0
2007-03-08,93.97000122070312,93.97000122070312,93.97000122070312,93.97000122070312,93.97000122070312,0
